date,Daily ICU occupancy,Daily ICU occupancy per million,Daily hospital occupancy,Daily hospital occupancy per million
2020-03-31,82.0,3.132,426.0,16.274
2020-04-01,86.0,3.285,441.0,16.847
2020-04-02,92.0,3.514,415.0,15.853
2020-04-03,93.0,3.553,457.0,17.458
2020-04-04,95.0,3.629,490.0,18.718
2020-04-05,96.0,3.667,457.0,17.458
2020-04-06,93.0,3.553,305.0,11.651
2020-04-07,87.0,3.323,263.0,10.047
2020-04-08,81.0,3.094,262.0,10.009
2020-04-09,81.0,3.094,247.0,9.436
2020-04-10,80.0,3.056,240.0,9.168
2020-04-11,83.0,3.171,239.0,9.13
2020-04-12,79.0,3.018,227.0,8.672
2020-04-13,80.0,3.056,230.0,8.786
2020-04-14,73.0,2.789,214.0,8.175
2020-04-15,67.0,2.559,201.0,7.678
2020-04-16,60.0,2.292,192.0,7.335
2020-04-17,55.0,2.101,184.0,7.029
2020-04-18,48.0,1.834,177.0,6.762
2020-04-19,49.0,1.872,170.0,6.494
2020-04-20,47.0,1.795,167.0,6.38
2020-04-21,46.0,1.757,161.0,6.15
2020-04-22,45.0,1.719,152.0,5.807
2020-04-23,42.0,1.604,138.0,5.272
2020-04-24,43.0,1.643,129.0,4.928
2020-04-25,43.0,1.643,115.0,4.393
2020-04-26,43.0,1.643,113.0,4.317
2020-04-27,42.0,1.604,109.0,4.164
2020-04-28,38.0,1.452,93.0,3.553
2020-04-29,34.0,1.299,89.0,3.4
2020-04-30,28.0,1.07,83.0,3.171
2020-05-01,28.0,1.07,79.0,3.018
2020-05-02,28.0,1.07,75.0,2.865
2020-05-03,28.0,1.07,70.0,2.674
2020-05-04,27.0,1.031,66.0,2.521
2020-05-05,27.0,1.031,62.0,2.368
2020-05-06,23.0,0.879,58.0,2.216
2020-05-07,21.0,0.802,56.0,2.139
2020-05-08,19.0,0.726,51.0,1.948
2020-05-09,17.0,0.649,43.0,1.643
2020-05-10,16.0,0.611,49.0,1.872
2020-05-11,16.0,0.611,47.0,1.795
2020-05-12,17.0,0.649,50.0,1.91
2020-05-13,18.0,0.688,51.0,1.948
2020-05-14,17.0,0.649,46.0,1.757
2020-05-15,16.0,0.611,49.0,1.872
2020-05-16,16.0,0.611,50.0,1.91
2020-05-17,12.0,0.458,45.0,1.719
2020-05-18,11.0,0.42,47.0,1.795
2020-05-19,9.0,0.344,43.0,1.643
2020-05-20,9.0,0.344,41.0,1.566
2020-05-21,7.0,0.267,39.0,1.49
2020-05-22,5.0,0.191,35.0,1.337
2020-05-23,5.0,0.191,33.0,1.261
2020-05-24,5.0,0.191,31.0,1.184
2020-05-25,5.0,0.191,30.0,1.146
2020-05-26,6.0,0.229,30.0,1.146
2020-05-27,5.0,0.191,29.0,1.108
2020-05-28,4.0,0.153,23.0,0.879
2020-05-29,4.0,0.153,22.0,0.84
2020-05-30,4.0,0.153,20.0,0.764
2020-05-31,3.0,0.115,20.0,0.764
2020-06-01,4.0,0.153,26.0,0.993
2020-06-02,5.0,0.191,25.0,0.955
2020-06-03,4.0,0.153,22.0,0.84
2020-06-04,2.0,0.076,21.0,0.802
2020-06-05,4.0,0.153,21.0,0.802
2020-06-06,3.0,0.115,18.0,0.688
2020-06-07,3.0,0.115,19.0,0.726
2020-06-08,2.0,0.076,18.0,0.688
2020-06-09,3.0,0.115,20.0,0.764
2020-06-10,2.0,0.076,18.0,0.688
2020-06-11,2.0,0.076,17.0,0.649
2020-06-12,2.0,0.076,16.0,0.611
2020-06-13,3.0,0.115,16.0,0.611
2020-06-14,4.0,0.153,17.0,0.649
2020-06-15,3.0,0.115,17.0,0.649
2020-06-16,3.0,0.115,16.0,0.611
2020-06-17,2.0,0.076,14.0,0.535
2020-06-18,2.0,0.076,15.0,0.573
2020-06-19,3.0,0.115,17.0,0.649
2020-06-20,2.0,0.076,16.0,0.611
2020-06-21,2.0,0.076,18.0,0.688
2020-06-22,3.0,0.115,19.0,0.726
2020-06-23,2.0,0.076,16.0,0.611
2020-06-24,2.0,0.076,16.0,0.611
2020-06-25,1.0,0.038,12.0,0.458
2020-06-26,1.0,0.038,12.0,0.458
2020-06-27,1.0,0.038,11.0,0.42
2020-06-28,1.0,0.038,15.0,0.573
2020-06-29,1.0,0.038,14.0,0.535
2020-06-30,3.0,0.115,18.0,0.688
2020-07-01,5.0,0.191,24.0,0.917
2020-07-02,7.0,0.267,27.0,1.031
2020-07-03,4.0,0.153,29.0,1.108
2020-07-04,4.0,0.153,30.0,1.146
2020-07-05,6.0,0.229,34.0,1.299
2020-07-06,10.0,0.382,39.0,1.49
2020-07-07,8.0,0.306,46.0,1.757
2020-07-08,10.0,0.382,45.0,1.719
2020-07-09,13.0,0.497,54.0,2.063
2020-07-10,16.0,0.611,55.0,2.101
2020-07-11,17.0,0.649,67.0,2.559
2020-07-12,18.0,0.688,92.0,3.514
2020-07-13,27.0,1.031,90.0,3.438
2020-07-14,28.0,1.07,111.0,4.24
2020-07-15,30.0,1.146,114.0,4.355
2020-07-16,32.0,1.222,126.0,4.813
2020-07-17,26.0,0.993,115.0,4.393
2020-07-18,29.0,1.108,135.0,5.157
2020-07-19,33.0,1.261,156.0,5.959
2020-07-20,38.0,1.452,182.0,6.953
2020-07-21,42.0,1.604,214.0,8.175
2020-07-22,41.0,1.566,211.0,8.06
2020-07-23,44.0,1.681,217.0,8.29
2020-07-24,46.0,1.757,239.0,9.13
2020-07-25,46.0,1.757,241.0,9.206
2020-07-26,49.0,1.872,259.0,9.894
2020-07-27,47.0,1.795,275.0,10.505
2020-07-28,46.0,1.757,323.0,12.339
2020-07-29,40.0,1.528,330.0,12.606
2020-07-30,44.0,1.681,366.0,13.982
2020-07-31,50.0,1.91,401.0,15.319
2020-08-01,46.0,1.757,408.0,15.586
2020-08-02,43.0,1.643,439.0,16.77
2020-08-03,44.0,1.681,483.0,18.451
2020-08-04,51.0,1.948,566.0,21.622
2020-08-05,52.0,1.986,600.0,22.921
2020-08-06,51.0,1.948,632.0,24.143
2020-08-07,53.0,2.025,659.0,25.174
2020-08-08,51.0,1.948,658.0,25.136
2020-08-09,56.0,2.139,664.0,25.365
2020-08-10,51.0,1.948,673.0,25.709
2020-08-11,51.0,1.948,686.0,26.206
2020-08-12,44.0,1.681,686.0,26.206
2020-08-13,47.0,1.795,679.0,25.938
2020-08-14,48.0,1.834,681.0,26.015
2020-08-15,47.0,1.795,680.0,25.977
2020-08-16,51.0,1.948,674.0,25.747
2020-08-17,52.0,1.986,682.0,26.053
2020-08-18,52.0,1.986,694.0,26.511
2020-08-19,51.0,1.948,644.0,24.601
2020-08-20,47.0,1.795,647.0,24.716
2020-08-21,43.0,1.643,631.0,24.105
2020-08-22,39.0,1.49,604.0,23.073
2020-08-23,38.0,1.452,659.0,25.174
2020-08-24,42.0,1.604,644.0,24.601
2020-08-25,46.0,1.757,603.0,23.035
2020-08-26,35.0,1.337,558.0,21.316
2020-08-27,35.0,1.337,543.0,20.743
2020-08-28,32.0,1.222,510.0,19.482
2020-08-29,31.0,1.184,501.0,19.139
2020-08-30,27.0,1.031,481.0,18.375
2020-08-31,26.0,0.993,450.0,17.19
2020-09-01,23.0,0.879,432.0,16.503
2020-09-02,26.0,0.993,391.0,14.937
2020-09-03,27.0,1.031,357.0,13.638
2020-09-04,27.0,1.031,326.0,12.453
2020-09-05,26.0,0.993,310.0,11.842
2020-09-06,32.0,1.222,294.0,11.231
2020-09-07,29.0,1.108,263.0,10.047
2020-09-08,26.0,0.993,221.0,8.442
2020-09-09,23.0,0.879,195.0,7.449
2020-09-10,18.0,0.688,162.0,6.189
2020-09-11,15.0,0.573,151.0,5.768
2020-09-12,17.0,0.649,137.0,5.234
2020-09-13,18.0,0.688,141.0,5.386
2020-09-14,17.0,0.649,139.0,5.31
2020-09-15,16.0,0.611,126.0,4.813
2020-09-16,16.0,0.611,117.0,4.47
2020-09-17,15.0,0.573,108.0,4.126
2020-09-18,12.0,0.458,106.0,4.049
2020-09-19,10.0,0.382,109.0,4.164
2020-09-20,8.0,0.306,107.0,4.087
2020-09-21,11.0,0.42,100.0,3.82
2020-09-22,11.0,0.42,89.0,3.4
2020-09-23,11.0,0.42,81.0,3.094
2020-09-24,11.0,0.42,71.0,2.712
2020-09-25,12.0,0.458,68.0,2.598
2020-09-26,12.0,0.458,65.0,2.483
2020-09-27,11.0,0.42,62.0,2.368
2020-09-28,8.0,0.306,60.0,2.292
2020-09-29,9.0,0.344,55.0,2.101
2020-09-30,9.0,0.344,50.0,1.91
2020-10-01,6.0,0.229,51.0,1.948
2020-10-02,6.0,0.229,49.0,1.872
2020-10-03,6.0,0.229,46.0,1.757
2020-10-04,6.0,0.229,46.0,1.757
2020-10-05,5.0,0.191,37.0,1.413
2020-10-06,6.0,0.229,32.0,1.222
2020-10-07,3.0,0.115,31.0,1.184
2020-10-08,4.0,0.153,28.0,1.07
2020-10-09,3.0,0.115,31.0,1.184
2020-10-10,1.0,0.038,31.0,1.184
2020-10-11,1.0,0.038,32.0,1.222
2020-10-12,1.0,0.038,31.0,1.184
