date,Daily hospital occupancy,Daily hospital occupancy per million,Weekly new hospital admissions,Weekly new hospital admissions per million,Daily ICU occupancy,Daily ICU occupancy per million
2020-03-22,2670.0,47.215,7340.0,129.797,1494.0,26.419
2020-03-23,3183.0,56.286,8393.0,148.417,1788.0,31.618
2020-03-24,3598.0,63.625,9633.0,170.345,1950.0,34.483
2020-03-25,4402.0,77.843,10729.0,189.726,2097.0,37.082
2020-03-26,5226.0,92.414,12056.0,213.192,2264.0,40.035
2020-03-27,6462.0,114.271,13745.0,243.059,2472.0,43.714
2020-03-28,7269.0,128.541,14648.0,259.027,2561.0,45.287
2020-03-29,8424.0,148.966,15992.0,282.794,2546.0,45.022
2020-03-30,9852.0,174.218,17285.0,305.659,2820.0,49.867
2020-03-31,11154.0,197.241,17918.0,316.852,2865.0,50.663
2020-04-01,12059.0,213.245,18638.0,329.584,2881.0,50.946
2020-04-02,12135.0,214.589,19044.0,336.764,2872.0,50.787
2020-04-03,13635.0,241.114,18906.0,334.324,2849.0,50.38
2020-04-04,15469.0,273.546,19203.0,339.576,2847.0,50.345
2020-04-05,16657.0,294.553,18723.0,331.088,2838.0,50.186
2020-04-06,17154.0,303.342,18131.0,320.619,2780.0,49.16
2020-04-07,17814.0,315.013,17763.0,314.111,2868.0,50.716
2020-04-08,18152.0,320.99,17125.0,302.829,2820.0,49.867
2020-04-09,18423.0,325.782,16324.0,288.665,2780.0,49.16
2020-04-10,18669.0,330.133,15557.0,275.102,2701.0,47.763
2020-04-11,18604.0,328.983,14672.0,259.452,2646.0,46.79
2020-04-12,18974.0,335.526,13661.0,241.574,2563.0,45.323
2020-04-13,18621.0,329.284,13098.0,231.618,2414.0,42.688
2020-04-14,18552.0,328.064,12576.0,222.387,2405.0,42.529
2020-04-15,17934.0,317.135,12032.0,212.767,2309.0,40.831
2020-04-16,17783.0,314.465,11716.0,207.179,2194.0,38.798
2020-04-17,16728.0,295.809,11326.0,200.283,2093.0,37.011
2020-04-18,16850.0,297.966,10962.0,193.846,2045.0,36.163
2020-04-19,16928.0,299.346,10664.0,188.576,1991.0,35.208
2020-04-20,16654.0,294.5,10176.0,179.947,1954.0,34.553
2020-04-21,16517.0,292.078,9779.0,172.927,1844.0,32.608
2020-04-22,16018.0,283.254,9448.0,167.073,1795.0,31.742
2020-04-23,15402.0,272.361,9181.0,162.352,1724.0,30.486
2020-04-24,14642.0,258.921,9003.0,159.204,1662.0,29.39
2020-04-25,14202.0,251.141,8804.0,155.685,1610.0,28.47
2020-04-26,14174.0,250.645,8789.0,155.42,1493.0,26.401
2020-04-27,14255.0,252.078,8727.0,154.324,1446.0,25.57
2020-04-28,13565.0,239.876,8531.0,150.858,1398.0,24.721
2020-04-29,13224.0,233.846,8431.0,149.089,1362.0,24.085
2020-04-30,12922.0,228.506,8267.0,146.189,1316.0,23.271
2020-05-01,12623.0,223.218,7986.0,141.22,1247.0,22.051
2020-05-02,12314.0,217.754,7649.0,135.261,1198.0,21.185
2020-05-03,12119.0,214.306,7394.0,130.752,1162.0,20.548
2020-05-04,12020.0,212.555,7165.0,126.702,1200.0,21.22
2020-05-05,11754.0,207.851,6827.0,120.725,1101.0,19.469
2020-05-06,11227.0,198.532,6645.0,117.507,1064.0,18.815
2020-05-07,10726.0,189.673,6357.0,112.414,1010.0,17.86
2020-05-08,10249.0,181.238,6160.0,108.93,976.0,17.259
2020-05-09,10176.0,179.947,6045.0,106.897,921.0,16.286
2020-05-10,9893.0,174.943,5809.0,102.723,894.0,15.809
2020-05-11,10109.0,178.762,5574.0,98.568,852.0,15.066
2020-05-12,9791.0,173.139,5569.0,98.479,815.0,14.412
2020-05-13,9602.0,169.797,5442.0,96.233,786.0,13.899
2020-05-14,9231.0,163.236,5359.0,94.766,771.0,13.634
2020-05-15,9079.0,160.548,5226.0,92.414,756.0,13.369
2020-05-16,8643.0,152.838,5134.0,90.787,696.0,12.308
2020-05-17,8611.0,152.272,5062.0,89.514,663.0,11.724
2020-05-18,8668.0,153.28,5014.0,88.665,630.0,11.141
2020-05-19,8518.0,150.628,4914.0,86.897,628.0,11.105
2020-05-20,8115.0,143.501,4747.0,83.943,606.0,10.716
2020-05-21,7903.0,139.752,4571.0,80.831,584.0,10.327
2020-05-22,7761.0,137.241,4336.0,76.676,553.0,9.779
2020-05-23,7428.0,131.353,4162.0,73.599,523.0,9.248
2020-05-24,7415.0,131.123,4019.0,71.07,494.0,8.736
2020-05-25,7448.0,131.706,3874.0,68.506,481.0,8.506
2020-05-26,7305.0,129.178,3735.0,66.048,473.0,8.364
2020-05-27,6836.0,120.884,3697.0,65.376,448.0,7.922
2020-05-28,6528.0,115.438,3646.0,64.474,443.0,7.834
2020-05-29,6250.0,110.522,3670.0,64.898,427.0,7.551
2020-05-30,5972.0,105.606,3645.0,64.456,384.0,6.79
2020-05-31,5933.0,104.916,3547.0,62.723,334.0,5.906
2020-06-01,5954.0,105.287,3435.0,60.743,336.0,5.942
2020-06-02,5827.0,103.042,3316.0,58.638,339.0,5.995
2020-06-03,5600.0,99.027,3156.0,55.809,343.0,6.065
2020-06-04,5398.0,95.455,3033.0,53.634,327.0,5.782
2020-06-05,5213.0,92.184,2859.0,50.557,327.0,5.782
2020-06-06,5004.0,88.488,2703.0,47.798,300.0,5.305
2020-06-07,4820.0,85.234,2614.0,46.225,299.0,5.287
2020-06-08,4830.0,85.411,2486.0,43.961,283.0,5.004
2020-06-09,4665.0,82.493,2404.0,42.511,297.0,5.252
2020-06-10,4447.0,78.638,2363.0,41.786,265.0,4.686
2020-06-11,4179.0,73.899,2346.0,41.485,296.0,5.234
2020-06-12,4136.0,73.139,2363.0,41.786,266.0,4.704
2020-06-13,4000.0,70.734,2320.0,41.026,264.0,4.668
2020-06-14,3973.0,70.256,2252.0,39.823,236.0,4.173
2020-06-15,3920.0,69.319,2234.0,39.505,226.0,3.996
2020-06-16,3934.0,69.567,2189.0,38.709,233.0,4.12
2020-06-17,3826.0,67.657,2108.0,37.277,236.0,4.173
2020-06-18,3681.0,65.093,2017.0,35.668,228.0,4.032
2020-06-19,3575.0,63.218,1970.0,34.836,238.0,4.209
2020-06-20,3423.0,60.531,1891.0,33.439,220.0,3.89
2020-06-21,3373.0,59.646,1819.0,32.166,211.0,3.731
2020-06-22,3417.0,60.424,1763.0,31.176,202.0,3.572
2020-06-23,3288.0,58.143,1758.0,31.088,186.0,3.289
2020-06-24,3223.0,56.994,1783.0,31.53,190.0,3.36
2020-06-25,3066.0,54.218,1723.0,30.469,188.0,3.324
2020-06-26,2859.0,50.557,1577.0,27.887,178.0,3.148
2020-06-27,2819.0,49.85,1491.0,26.366,164.0,2.9
2020-06-28,2818.0,49.832,1430.0,25.287,167.0,2.953
2020-06-29,3024.0,53.475,1323.0,23.395,162.0,2.865
2020-06-30,2665.0,47.126,1221.0,21.592,152.0,2.688
2020-07-01,2509.0,44.368,1132.0,20.018,139.0,2.458
2020-07-02,2410.0,42.617,1108.0,19.593,138.0,2.44
2020-07-03,2294.0,40.566,1086.0,19.204,123.0,2.175
2020-07-04,2152.0,38.055,1045.0,18.479,136.0,2.405
2020-07-05,2100.0,37.135,985.0,17.418,118.0,2.087
2020-07-06,2099.0,37.118,972.0,17.188,122.0,2.157
2020-07-07,2010.0,35.544,930.0,16.446,118.0,2.087
2020-07-08,1888.0,33.386,907.0,16.039,119.0,2.104
2020-07-09,1801.0,31.848,848.0,14.996,112.0,1.981
2020-07-10,1746.0,30.875,835.0,14.766,106.0,1.874
2020-07-11,1640.0,29.001,809.0,14.306,97.0,1.715
2020-07-12,1611.0,28.488,784.0,13.864,101.0,1.786
2020-07-13,1612.0,28.506,762.0,13.475,92.0,1.627
2020-07-14,1506.0,26.631,741.0,13.103,82.0,1.45
2020-07-15,1489.0,26.331,692.0,12.237,81.0,1.432
2020-07-16,1348.0,23.837,692.0,12.237,83.0,1.468
2020-07-17,1346.0,23.802,641.0,11.335,78.0,1.379
2020-07-18,1321.0,23.36,598.0,10.575,72.0,1.273
2020-07-19,1301.0,23.006,564.0,9.973,70.0,1.238
2020-07-20,1278.0,22.599,559.0,9.885,71.0,1.256
2020-07-21,1188.0,21.008,569.0,10.062,74.0,1.309
2020-07-22,1305.0,23.077,586.0,10.363,72.0,1.273
2020-07-23,1095.0,19.363,578.0,10.221,67.0,1.185
2020-07-24,1018.0,18.002,574.0,10.15,65.0,1.149
2020-07-25,977.0,17.277,564.0,9.973,63.0,1.114
2020-07-26,965.0,17.065,545.0,9.637,61.0,1.079
2020-07-27,945.0,16.711,511.0,9.036,57.0,1.008
2020-07-28,944.0,16.693,473.0,8.364,55.0,0.973
2020-07-29,927.0,16.393,458.0,8.099,56.0,0.99
2020-07-30,898.0,15.88,451.0,7.975,60.0,1.061
2020-07-31,870.0,15.385,443.0,7.834,63.0,1.114
2020-08-01,879.0,15.544,432.0,7.639,68.0,1.202
2020-08-02,847.0,14.978,429.0,7.586,64.0,1.132
2020-08-03,842.0,14.889,406.0,7.179,63.0,1.114
2020-08-04,807.0,14.271,411.0,7.268,68.0,1.202
2020-08-05,805.0,14.235,439.0,7.763,69.0,1.22
2020-08-06,756.0,13.369,435.0,7.692,67.0,1.185
2020-08-07,711.0,12.573,411.0,7.268,64.0,1.132
2020-08-08,650.0,11.494,416.0,7.356,63.0,1.114
2020-08-09,611.0,10.805,407.0,7.197,64.0,1.132
2020-08-10,714.0,12.626,415.0,7.339,64.0,1.132
2020-08-11,672.0,11.883,410.0,7.25,66.0,1.167
2020-08-12,642.0,11.353,370.0,6.543,65.0,1.149
2020-08-13,652.0,11.53,356.0,6.295,62.0,1.096
2020-08-14,642.0,11.353,352.0,6.225,62.0,1.096
2020-08-15,630.0,11.141,345.0,6.101,55.0,0.973
2020-08-16,634.0,11.211,352.0,6.225,62.0,1.096
2020-08-17,626.0,11.07,337.0,5.959,52.0,0.92
2020-08-18,597.0,10.557,331.0,5.853,56.0,0.99
2020-08-19,571.0,10.097,318.0,5.623,52.0,0.92
2020-08-20,551.0,9.744,323.0,5.712,54.0,0.955
2020-08-21,528.0,9.337,318.0,5.623,59.0,1.043
2020-08-22,594.0,10.504,322.0,5.694,59.0,1.043
2020-08-23,522.0,9.231,316.0,5.588,58.0,1.026
2020-08-24,522.0,9.231,340.0,6.012,54.0,0.955
2020-08-25,500.0,8.842,335.0,5.924,50.0,0.884
2020-08-26,485.0,8.576,362.0,6.401,52.0,0.92
2020-08-27,492.0,8.7,356.0,6.295,62.0,1.096
2020-08-28,469.0,8.294,367.0,6.49,64.0,1.132
2020-08-29,478.0,8.453,365.0,6.454,64.0,1.132
2020-08-30,479.0,8.47,392.0,6.932,62.0,1.096
2020-08-31,495.0,8.753,392.0,6.932,129.0,2.281
2020-09-01,496.0,8.771,415.0,7.339,70.0,1.238
2020-09-02,451.0,7.975,457.0,8.081,74.0,1.309
2020-09-03,468.0,8.276,504.0,8.912,88.0,1.556
2020-09-04,474.0,8.382,536.0,9.478,101.0,1.786
2020-09-05,471.0,8.329,577.0,10.203,107.0,1.892
2020-09-06,483.0,8.541,634.0,11.211,108.0,1.91
2020-09-07,555.0,9.814,708.0,12.52,115.0,2.034
2020-09-08,535.0,9.461,776.0,13.722,123.0,2.175
2020-09-09,557.0,9.85,825.0,14.589,142.0,2.511
2020-09-10,572.0,10.115,893.0,15.791,154.0,2.723
2020-09-11,622.0,10.999,981.0,17.347,179.0,3.165
2020-09-12,663.0,11.724,1076.0,19.027,192.0,3.395
2020-09-13,691.0,12.219,1123.0,19.859,209.0,3.696
2020-09-14,812.0,14.359,1179.0,20.849,227.0,4.014
2020-09-15,891.0,15.756,1249.0,22.087,223.0,3.943
2020-09-16,929.0,16.428,1310.0,23.165,233.0,4.12
2020-09-17,984.0,17.401,1394.0,24.651,245.0,4.332
2020-09-18,1020.0,18.037,1497.0,26.472,259.0,4.58
2020-09-19,1081.0,19.116,1571.0,27.781,282.0,4.987
2020-09-20,1174.0,20.76,1702.0,30.097,285.0,5.04
2020-09-21,1299.0,22.971,1791.0,31.671,311.0,5.5
2020-09-22,1378.0,24.368,1860.0,32.891,307.0,5.429
2020-09-23,1439.0,25.447,1901.0,33.616,310.0,5.482
2020-09-24,1546.0,27.339,1905.0,33.687,331.0,5.853
2020-09-25,1686.0,29.814,1938.0,34.271,349.0,6.172
2020-09-26,1689.0,29.867,1980.0,35.013,376.0,6.649
2020-09-27,1793.0,31.706,1994.0,35.261,368.0,6.508
2020-09-28,1955.0,34.571,2074.0,36.676,367.0,6.49
2020-09-29,1954.0,34.553,2171.0,38.391,396.0,7.003
2020-09-30,2036.0,36.004,2312.0,40.884,401.0,7.091
2020-10-01,2069.0,36.587,2549.0,45.075,426.0,7.533
2020-10-02,2180.0,38.55,2713.0,47.975,-1.0,-1.0
2020-10-03,2290.0,40.495,2927.0,51.76,-1.0,-1.0
2020-10-04,2435.0,43.059,3090.0,54.642,-1.0,-1.0
2020-10-05,2705.0,47.834,3235.0,57.206,-1.0,-1.0
2020-10-06,2903.0,51.335,3408.0,60.265,-1.0,-1.0
2020-10-07,3066.0,54.218,3537.0,62.546,-1.0,-1.0
2020-10-08,3179.0,56.216,3687.0,65.199,-1.0,-1.0
2020-10-09,3238.0,57.259,3879.0,68.594,-1.0,-1.0
2020-10-10,3369.0,59.576,-1.0,-1.0,-1.0,-1.0
2020-10-11,3604.0,63.731,-1.0,-1.0,-1.0,-1.0
2020-10-12,3827.0,67.675,-1.0,-1.0,-1.0,-1.0
